quantity_kind,unit,symbol,quantity_name
http://qudt.org/vocab/quantitykind/Enthalpy,KiloVAR-HR,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,KiloW-HR,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,MegaBTU_IT,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,MegaEV,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,MegaJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,MegaTOE,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,MegaVA-HR,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,MegaVAR-HR,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,MegaW-HR,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,MicroJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,MilliJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,NanoJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,PetaJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,PicoJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,PlanckEnergy,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,QUAD,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,THERM_EC,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,THERM_US,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,THM_EEC,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,THM_US,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,TOE,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,TeraJ,H,Enthalpy
