start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1770947940,1770948000,2026-02-13T01:59:00+00:00,2026-02-13T02:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948000,1770948060,2026-02-13T02:00:00+00:00,2026-02-13T02:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948060,1770948120,2026-02-13T02:01:00+00:00,2026-02-13T02:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948120,1770948180,2026-02-13T02:02:00+00:00,2026-02-13T02:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948180,1770948240,2026-02-13T02:03:00+00:00,2026-02-13T02:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948240,1770948300,2026-02-13T02:04:00+00:00,2026-02-13T02:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948300,1770948360,2026-02-13T02:05:00+00:00,2026-02-13T02:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948360,1770948420,2026-02-13T02:06:00+00:00,2026-02-13T02:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948420,1770948480,2026-02-13T02:07:00+00:00,2026-02-13T02:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948480,1770948540,2026-02-13T02:08:00+00:00,2026-02-13T02:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948540,1770948600,2026-02-13T02:09:00+00:00,2026-02-13T02:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948600,1770948660,2026-02-13T02:10:00+00:00,2026-02-13T02:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948660,1770948720,2026-02-13T02:11:00+00:00,2026-02-13T02:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948720,1770948780,2026-02-13T02:12:00+00:00,2026-02-13T02:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948780,1770948840,2026-02-13T02:13:00+00:00,2026-02-13T02:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948840,1770948900,2026-02-13T02:14:00+00:00,2026-02-13T02:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948900,1770948960,2026-02-13T02:15:00+00:00,2026-02-13T02:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1770948960,1770949020,2026-02-13T02:16:00+00:00,2026-02-13T02:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949020,1770949080,2026-02-13T02:17:00+00:00,2026-02-13T02:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949080,1770949140,2026-02-13T02:18:00+00:00,2026-02-13T02:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949140,1770949200,2026-02-13T02:19:00+00:00,2026-02-13T02:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949200,1770949260,2026-02-13T02:20:00+00:00,2026-02-13T02:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949260,1770949320,2026-02-13T02:21:00+00:00,2026-02-13T02:22:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949320,1770949380,2026-02-13T02:22:00+00:00,2026-02-13T02:23:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949380,1770949440,2026-02-13T02:23:00+00:00,2026-02-13T02:24:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949440,1770949500,2026-02-13T02:24:00+00:00,2026-02-13T02:25:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949500,1770949560,2026-02-13T02:25:00+00:00,2026-02-13T02:26:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949560,1770949620,2026-02-13T02:26:00+00:00,2026-02-13T02:27:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949620,1770949680,2026-02-13T02:27:00+00:00,2026-02-13T02:28:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949680,1770949740,2026-02-13T02:28:00+00:00,2026-02-13T02:29:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949740,1770949800,2026-02-13T02:29:00+00:00,2026-02-13T02:30:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949800,1770949860,2026-02-13T02:30:00+00:00,2026-02-13T02:31:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949860,1770949920,2026-02-13T02:31:00+00:00,2026-02-13T02:32:00+00:00,,,,,,,,,,,,,,,,,,,,
